"Manufacturer part code","Long Description (used in Web & AMO)","Website Image Link 1","Website Image Link 2","Website Image Link 3","Website Image Link 4","Website Image Link 5",,,
"AIRSAFEPLUG","Mobility Scooter and Powerchair Immobiliser","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/airsafe-plug-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/airsafe-plug-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-accessories/airsafe-plug-03.jpg",,,,,
"BAT/UB12-10","12v 10A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"BAT/UB12-12","12v 12A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"BAT/UB12-15","12v 15A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"BAT/UB12-18","12v 18A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"BAT/UB12-22","12v 22A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"BAT/UB12-35","12v 35A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"BAT/UB12-40","12v 40A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"BAT/UB12-50","12v 50A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"BAT/UB12-55","12v 55A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"BAT/UB12-75","12v 75A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"BAT/UB12-110","12v 110A/H Battery","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-batteries/flexel-mobility-scooter-batteries.jpg",,,,,,,
"USA2AMP","Mobility Scooter USA  2amp Charger",,,,,,,,
"BAT/C/CTE24V2A","Mobility Scooter 2amp Charger","http://www.carecomobility.co.uk/products/mobility-scooters/mobility-scooter-chargers/mobility-scooter-charger-2amp-cte24v2a.jpg",,,,,,,
