"Manufacturer part code","Long Description (used in Web & AMO)","Website Image Link 01","Website Image Link 02","Website Image Link 03","Website Image Link 04","Website Image Link 05","Website Image Link 06","Website Image Link 07","Website Image Link 08","Website Image Link 09","Website Image Link 10","Website Video Link"
"UL480","Rascal Ultralight 480","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-480-ultra-lightmobility-scooter-01.jpg",,,,,,,,,,
"UL355XL","Electric Mobility 355XL","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/electric-mobility-355xl-travel-scooter-01.jpg",,,,,,,,,,
"MS019","Drive Prism Sport ","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/drive-mercury-prism-sport-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/drive-mercury-prism-sport-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/drive-mercury-prism-sport-03.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/drive-mercury-prism-sport-04.jpg",,,,,,,
"GK9","Shoprider Paris","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/shoprider-paris-01.jpg",,,,,,,,,,
"LITEWAYP3","Rascal Liteway 3 Plus","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-3-plus-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-3-plus-02.jpg",,,,,,,,,
"GK10","Roma Valencia","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/shoprider-valencia-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/shoprider-valencia-02.jpg",,,,,,,,,
"LW4","Rascal Liteway 4","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-4-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-4-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-4-03.jpg",,,,,,,,
"LITEWAYP4","Rascal Liteway 4 Plus","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-4-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-4-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-4-03.jpg",,,,,,,,
"LW3","Rascal Liteway 3 ","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-3-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-3-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/rascal-liteway-3-03.jpg",,,,,,,,
"SCOOTCASE","CareCo Scootcase","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/careco-scootcase-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/careco-scootcase-02.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/careco-scootcase-03.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/travel-scooters/careco-scootcase-01.jpg",,,,,,,
"PARTNERD","Rascal Partner Deluxe","http://www.carecomobility.co.uk/products/mobility-scooters/pavement-scooters/rascal-partner-deluxe-mobility-scooter-01.jpg","http://www.carecomobility.co.uk/products/mobility-scooters/pavement-scooters/rascal-partner-deluxe-mobility-scooter-02.jpg",,,,,,,,,
"SR168-4","Freerider Mayfair 4","http://www.carecomobility.co.uk/products/mobility-scooters/pavement-scooters/mayfair-4-mobility-scooter-01.jpg",,,,,,,,,,
"S888NR","Roma Sovereign 4","http://www.carecomobility.co.uk/products/mobility-scooters/pavement-scooters/shoprider-soverign-4-01.jpg",,,,,,,,,,
