Old Id,New Id
269059,311753
269060,311754
281203,311755
273164,311756
282072,311757
300091,311758
273131,311759
273130,311760
273129,311761
259089,311762
259099,311763
259129,311764
259100,311765
270501,311766
270493,311767
263168,311768
263166,311769
263167,311770
259104,311771
259106,311772
259128,311773
259084,311774
259085,311775
259107,311776
259111,311777
259109,311778
259110,311779
259101,311780
259105,311781
240300,311782
240299,311783
102838,311784
102839,311785
102837,311786
24794,311787
235925,311788
240244,311789
240243,311790
240227,311791
240242,311792
195051,311793
24544,311794
240208,311795
240239,311796
54776,311797
24083,311798
24104,311799
24119,311800
24337,311801
24336,311802
24338,311803
24339,311804
24340,311805
24345,311806
24351,311807
24357,311808
24358,311809
24360,311810
24365,311811
24385,311812
24394,311813
24397,311814
24400,311815
24401,311816
179992,311817
24541,311818
24543,311819
24546,311820
24810,311821
24812,311822
24817,311823
27744,311824
240293,311825
54985,311826
53838,311827
240942,311828
47582,311829
176878,311830
241005,311831
53104,311832
53105,311833
53107,311834
53108,311835
53109,311836
53208,311837
53209,311838
53215,311839
53835,311840
54580,311841
54790,311842
54791,311843
235953,311844
176875,311845
176876,311846
176877,311847
241004,311848
167473,311849
164069,311850
195050,311851
78240,311852
78243,311853
78244,311854
78245,311855
78249,311856
78248,311857
108406,311858
180010,311859
179994,311860
179993,311861
216729,311862
180015,311863
234174,311864
180013,311865
90328,311866
90329,311867
90330,311868
90749,311869
93309,311870
93310,311871
93311,311872
93316,311873
93321,311874
93322,311875
93323,311876
235898,311877
102430,311878
102431,311879
216733,311880
103248,311881
234005,311882
234004,311883
234003,311884
105084,311885
123120,311886
122943,311887
122942,311888
235949,311889
107761,311890
107767,311891
108407,311892
108415,311893
108416,311894
108417,311895
108419,311896
108427,311897
108429,311898
108491,311899
108492,311900
108494,311901
216727,311902
216728,311903
117606,311904
117607,311905
117608,311906
117609,311907
118464,311908
118465,311909
118466,311910
118731,311911
120412,311912
120413,311913
120414,311914
235977,311915
138674,311916
233469,311917
209383,311918
155450,311919
155451,311920
155452,311921
155453,311922
155454,311923
155455,311924
235926,311925
155925,311926
235952,311927
235988,311928
235987,311929
164070,311930
167476,311931
167478,311932
180293,311933
236302,311934
216731,311935
216732,311936
169673,311937
169841,311938
169844,311939
169849,311940
234025,311941
236140,311942
236138,311943
236139,311944
236137,311945
236136,311946
240937,311947
240938,311948
240939,311949
240940,311950
240941,311951
235950,311952
235951,311953
176765,311954
176786,311955
176787,311956
180016,311957
180294,311958
233932,311959
233928,311960
233927,311961
207919,311962
207947,311963
233799,311964
233800,311965
242703,311966
242695,311967
242694,311968
242693,311969
242692,311970
242691,311971
242690,311972
242689,311973
242688,311974
236311,311975
236306,311976
236061,311977
236060,311978
236056,311979
236055,311980
215181,311981
215073,311982
215071,311983
215072,311984
236280,311985
236272,311986
236271,311987
235542,311988
191768,311989
191769,311990
191770,311991
191775,311992
191776,311993
191777,311994
191780,311995
191920,311996
191921,311997
243544,311998
243543,311999
193433,312000
193434,312001
193435,312002
193436,312003
193437,312004
193461,312005
193462,312006
194921,312007
194922,312008
242449,312009
195047,312010
195048,312011
195049,312012
195053,312013
195054,312014
195055,312015
195056,312016
195057,312017
195059,312018
195060,312019
195061,312020
195062,312021
195065,312022
195070,312023
195072,312024
195073,312025
195074,312026
195075,312027
195076,312028
195077,312029
195078,312030
195079,312031
195080,312032
195081,312033
236270,312034
236269,312035
195377,312036
195378,312037
195379,312038
195380,312039
195381,312040
195382,312041
195383,312042
195384,312043
242349,312044
242348,312045
195782,312046
195783,312047
195784,312048
195785,312049
195786,312050
195787,312051
195788,312052
195789,312053
195790,312054
195791,312055
195792,312056
195793,312057
195795,312058
195796,312059
195803,312060
195806,312061
195807,312062
195808,312063
195809,312064
195810,312065
195811,312066
195812,312067
195873,312068
195874,312069
196000,312070
196001,312071
196002,312072
196003,312073
196004,312074
196005,312075
196006,312076
196007,312077
196008,312078
196009,312079
196010,312080
196011,312081
196012,312082
196013,312083
196014,312084
196015,312085
196016,312086
196017,312087
196025,312088
196026,312089
196027,312090
196028,312091
196029,312092
196030,312093
196032,312094
196033,312095
196034,312096
196035,312097
196036,312098
196037,312099
196039,312100
196041,312101
196042,312102
196043,312103
196044,312104
196045,312105
196046,312106
196343,312107
196344,312108
196345,312109
196346,312110
196347,312111
196348,312112
196349,312113
196350,312114
196351,312115
196352,312116
196353,312117
196354,312118
196355,312119
196356,312120
196357,312121
196358,312122
196359,312123
196360,312124
196361,312125
196362,312126
196363,312127
196364,312128
196365,312129
196366,312130
196367,312131
196368,312132
196369,312133
196370,312134
196371,312135
196372,312136
196373,312137
196374,312138
196375,312139
196376,312140
196377,312141
196378,312142
196379,312143
196380,312144
196381,312145
196402,312146
196401,312147
196387,312148
196388,312149
196389,312150
196390,312151
196391,312152
196392,312153
196393,312154
196394,312155
196395,312156
196396,312157
196397,312158
196398,312159
196399,312160
196400,312161
196403,312162
196404,312163
196405,312164
196406,312165
236264,312166
196864,312167
196865,312168
196866,312169
196867,312170
196868,312171
196869,312172
197064,312173
240198,312174
240199,312175
240200,312176
240201,312177
197182,312178
197183,312179
197184,312180
236218,312181
236217,312182
236216,312183
236214,312184
236209,312185
233825,312186
242102,312187
242101,312188
242100,312189
242099,312190
241866,312191
241865,312192
241864,312193
241863,312194
241862,312195
241861,312196
241860,312197
241859,312198
241857,312199
241858,312200
241856,312201
241854,312202
241852,312203
241853,312204
242103,312205
241468,312206
241467,312207
241466,312208
241465,312209
241464,312210
241463,312211
241462,312212
241461,312213
241460,312214
241459,312215
241458,312216
241457,312217
241456,312218
241455,312219
241453,312220
241452,312221
241450,312222
241449,312223
241362,312224
241361,312225
241329,312226
241328,312227
241327,312228
241323,312229
241320,312230
241319,312231
241315,312232
241311,312233
241310,312234
241309,312235
241308,312236
241307,312237
241306,312238
241305,312239
