Old vendorid Id,New vendor Id
25175,25207
25176,25208
25177,25209
25178,25210
25179,25211
25180,25212
25181,25213
25182,25214
25183,25215
25184,25216
25185,25217
25186,25218
25187,25219
25188,25220
25189,25221
25190,25222
25191,25223
25192,25224
25193,25225
25194,25226
25195,25227
25196,25228
25197,25229
25198,25230
